Order ID,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Profit Margin %,,Total Sales,Total Profit,Total Orders
101,31-12-24,Printer,Office,North,4,3640,348.93,2024,December,958.60%,,"? 10,667,881.00","? 1,844,665.21",3500
102,27-11-22,Mouse,Accessories,East,7,1197,106.53,2022,November,889.97%,,,,
103,11-05-22,Tablet,Electronics,South,5,5865,502.73,2022,May,857.17%,,,,
104,16-03-24,Mouse,Accessories,South,2,786,202.87,2024,March,2581.04%,,,,
105,10-09-22,Mouse,Accessories,West,1,509,103.28,2022,September,2029.08%,,Total Profit Margin,,
106,01-12-23,Camera,Electronics,West,1,524,106.35,2023,December,2029.58%,,1729.18%,,
107,09-10-23,Headphones,Accessories,North,7,6167,1027.98,2023,October,1666.90%,,,,
108,14-01-22,Camera,Electronics,South,7,3059,873.5,2022,January,2855.51%,,,,
109,02-04-22,Smartwatch,Electronics,East,9,5526,595.28,2022,April,1077.23%,,,,
110,22-10-24,Printer,Office,South,8,672,186.37,2024,October,2773.36%,,,,
111,04-12-23,Monitor,Accessories,South,6,7074,1357.68,2023,December,1919.25%,,,,
112,27-09-22,Smartwatch,Electronics,East,2,502,137.4,2022,September,2737.05%,,,,
113,21-12-23,Tablet,Electronics,North,7,7462,2166.17,2023,December,2902.93%,,,,
114,03-02-24,Smartphone,Electronics,West,5,4205,585.29,2024,February,1391.89%,,,,
115,10-10-23,Camera,Electronics,West,1,570,138.54,2023,October,2430.53%,,,,
116,16-10-22,Headphones,Accessories,East,1,441,102.42,2022,October,2322.45%,,,,
117,15-05-22,Mouse,Accessories,North,7,7469,589.81,2022,May,789.68%,,,,
118,11-02-23,Tablet,Electronics,South,2,2212,145.75,2023,February,658.91%,,,,
119,27-12-23,Tablet,Electronics,East,5,740,146.39,2023,December,1978.24%,,,,
120,05-10-23,Headphones,Accessories,North,1,662,193.92,2023,October,2929.31%,,,,
121,05-03-24,Mouse,Accessories,North,7,5712,651.27,2024,March,1140.18%,,,,
122,18-07-23,Smartwatch,Electronics,North,3,2739,572.73,2023,July,2091.02%,,,,
123,25-06-23,Keyboard,Accessories,West,5,1400,213.63,2023,June,1525.93%,,,,
124,13-11-23,Printer,Office,North,3,3477,939.2,2023,November,2701.18%,,,,
125,09-07-22,Camera,Electronics,North,5,3475,570.36,2022,July,1641.32%,,,,
126,11-12-23,Laptop,Electronics,West,9,6138,1562.14,2023,December,2545.03%,,,,
127,18-03-23,Camera,Electronics,West,5,3665,406.93,2023,March,1110.31%,,,,
128,09-08-24,Printer,Office,North,2,2372,206.42,2024,August,870.24%,,,,
129,04-05-24,Laptop,Electronics,North,2,1382,211.11,2024,May,1527.57%,,,,
130,04-09-22,Laptop,Electronics,West,1,1126,194.08,2022,September,1723.62%,,,,
131,21-10-22,Printer,Office,West,8,1376,152.1,2022,October,1105.38%,,,,
132,22-01-24,Mouse,Accessories,West,4,988,147.91,2024,January,1497.06%,,,,
133,09-04-23,Laptop,Electronics,North,9,10773,1907.36,2023,April,1770.50%,,,,
134,07-02-23,Headphones,Accessories,South,4,3252,713.46,2023,February,2193.91%,,,,
135,04-05-23,Headphones,Accessories,North,3,2739,202.81,2023,May,740.45%,,,,
136,18-04-23,Tablet,Electronics,South,7,2709,702.79,2023,April,2594.28%,,,,
137,12-12-22,Printer,Office,West,3,936,201.24,2022,December,2150.00%,,,,
138,11-09-22,Camera,Electronics,West,4,3720,410.92,2022,September,1104.62%,,,,
139,26-03-24,Mouse,Accessories,West,5,5320,716.91,2024,March,1347.58%,,,,
140,20-09-23,Headphones,Accessories,East,4,804,121.51,2023,September,1511.32%,,,,
141,25-05-23,Laptop,Electronics,North,8,1224,246.77,2023,May,2016.09%,,,,
142,04-12-22,Headphones,Accessories,South,9,8667,781.78,2022,December,902.02%,,,,
143,10-06-22,Monitor,Accessories,West,3,3018,320.11,2022,June,1060.67%,,,,
144,05-02-23,Laptop,Electronics,West,5,4325,1023.39,2023,February,2366.22%,,,,
145,20-01-24,Laptop,Electronics,South,3,1557,181.08,2024,January,1163.01%,,,,
146,27-01-22,Monitor,Accessories,South,6,3672,1002.5,2022,January,2730.12%,,,,
147,29-03-23,Mouse,Accessories,West,1,333,72.34,2023,March,2172.37%,,,,
148,17-01-22,Headphones,Accessories,West,4,2384,577.26,2022,January,2421.39%,,,,
